Commodity,Time,Customs Value (Gen) ($US)
902140 Hearing Aids,2016-09-01,"126,259,173"
902140 Hearing Aids,2016-10-01,"98,444,276"
902140 Hearing Aids,2016-11-01,"107,932,961"
902140 Hearing Aids,2016-12-01,"111,924,029"
902140 Hearing Aids,1905-07-09,"1,405,302,596"
902140 Hearing Aids,2017-01-01,"90,858,381"
902140 Hearing Aids,2017-02-01,"93,499,428"
902140 Hearing Aids,2017-03-01,"113,997,383"
902140 Hearing Aids,2017-04-01,"108,059,761"
902140 Hearing Aids,2017-05-01,"119,802,424"
902140 Hearing Aids,2017-06-01,"122,203,980"
902140 Hearing Aids,2017-07-01,"117,441,759"
902140 Hearing Aids,2017-08-01,"126,302,366"
902140 Hearing Aids,2017-09-01,"115,349,042"
902140 Hearing Aids,2017-10-01,"132,265,463"
902140 Hearing Aids,2017-11-01,"128,609,562"
902140 Hearing Aids,2017-12-01,"136,913,047"
902140 Hearing Aids,1905-07-10,"1,535,651,105"
902140 Hearing Aids,2018-01-01,"116,687,119"
902140 Hearing Aids,2018-02-01,"103,380,517"
902140 Hearing Aids,2018-03-01,"135,057,982"
902140 Hearing Aids,2018-04-01,"141,385,376"
902140 Hearing Aids,2018-05-01,"135,682,706"
902140 Hearing Aids,2018-06-01,"113,130,519"
902140 Hearing Aids,2018-07-01,"114,499,568"
902140 Hearing Aids,2018-08-01,"129,047,379"
902140 Hearing Aids,2018-09-01,"145,952,281"
902140 Hearing Aids,2018-10-01,"127,533,133"
902140 Hearing Aids,2018-11-01,"160,010,407"
902140 Hearing Aids,2018-12-01,"113,284,118"
902140 Hearing Aids,1905-07-11,"1,575,234,295"
902140 Hearing Aids,2019-01-01,"127,096,853"
902140 Hearing Aids,2019-02-01,"123,290,793"
902140 Hearing Aids,2019-03-01,"146,957,460"
902140 Hearing Aids,2019-04-01,"136,254,022"
902140 Hearing Aids,2019-05-01,"153,734,166"
902140 Hearing Aids,2019-06-01,"136,971,687"
902140 Hearing Aids,2019-07-01,"126,686,388"
902140 Hearing Aids,2019-08-01,"116,501,964"
902140 Hearing Aids,2019-09-01,"111,183,407"
902140 Hearing Aids,2019-10-01,"132,078,161"
902140 Hearing Aids,2019-11-01,"135,982,388"
902140 Hearing Aids,2019-12-01,"128,497,006"
902140 Hearing Aids,1905-07-12,"1,377,877,720"
902140 Hearing Aids,2020-01-01,"95,432,930"
902140 Hearing Aids,2020-02-01,"126,132,437"
902140 Hearing Aids,2020-03-01,"146,237,379"
902140 Hearing Aids,2020-04-01,"56,859,812"
902140 Hearing Aids,2020-05-01,"26,261,863"
902140 Hearing Aids,2020-06-01,"98,264,708"
902140 Hearing Aids,2020-07-01,"123,129,805"
902140 Hearing Aids,2020-08-01,"121,861,801"
902140 Hearing Aids,2020-09-01,"150,431,353"
902140 Hearing Aids,2020-10-01,"159,875,887"
902140 Hearing Aids,2020-11-01,"135,940,773"
902140 Hearing Aids,2020-12-01,"137,448,972"
902140 Hearing Aids,1905-07-13,"1,953,799,608"
902140 Hearing Aids,2021-01-01,"121,247,179"
902140 Hearing Aids,2021-02-01,"129,249,286"
902140 Hearing Aids,2021-03-01,"170,973,529"
902140 Hearing Aids,2021-04-01,"171,699,429"
902140 Hearing Aids,2021-05-01,"197,087,787"
902140 Hearing Aids,2021-06-01,"163,305,725"
902140 Hearing Aids,2021-07-01,"174,872,919"
902140 Hearing Aids,2021-08-01,"167,254,020"
902140 Hearing Aids,2021-09-01,"149,391,086"
902140 Hearing Aids,2021-10-01,"176,022,517"
902140 Hearing Aids,2021-11-01,"173,412,023"
902140 Hearing Aids,2021-12-01,"159,284,108"
902140 Hearing Aids,2022 through March,"451,545,936"
902140 Hearing Aids,2022-01-01,"122,736,830"
902140 Hearing Aids,2022-02-01,"148,938,008"
902140 Hearing Aids,2022-03-01,"179,871,098"
